;;;Понедельник;Вторник;Среда;Четверг;Пятница;Суббота
;;;;;1 четверть;;;
;;;;;7_1;;;
1;9:00;9:45;Английский язык 410п,210п;Геометрия 402п;Физика 507п;Алгебра 209п;Русский язык 502п;Физика 507п
2;9:55;10:40;Английский язык 410п,210п;Физкультура 0п;Русский язык 301п;Инф,Алгоритмика 305п,308п;Геометрия 506п;Музыка 402п
3;10:50;11:35;История 403п;Изобразительное искусство 202п;Алгебра 209п;Английский язык 410п,210п;Литература 502п;Русский язык 502п
4;11:45;12:30;Биология 503п;Русский язык 403п;Информатика 305п,307п;Английский язык 410п,210п;Алгебра 209п;Алго,Информатика 305п,308п
5;12:40;13:25;Алгебра 209п;Алгебра 209п;География 501п;Обществознание 403п;История 403п;Физкультура 0п
6;13:45;14:30;Геометрия 302п;Литература 403п;Русский язык 301п;Биология 503п;География 501п;
;;;;;;;;
;;;;;;;;
;;;;;7_2;;;
1;9:00;9:45;Биология 503п;Русский язык 403п;Русский язык 301п;Биология 503п;Алгебра 209п;Алгоритмика 305п,308п
2;9:55;10:40;Алгебра 209п;Изобразительное искусство 202п;Физика 507п;Алгебра 209п;Информатика 305п,308п;Физика 507п
3;10:50;11:35;Английский язык 410п,210п;Алгебра 209п;Геометрия 303п;География 501п;География 501п;Физкультура 0п
4;11:45;12:30;Английский язык 410п,210п;Информатика 305п,308п;Алгебра 209п;Геометрия 302п;История 403п;Русский язык 502п
5;12:40;13:25;Геометрия 302п;Литература 403п;Русский язык 301п;Английский язык 410п,210п;Русский язык 502п;Литература 502п
6;13:45;14:30;История 403п;Физкультура 0п;;Английский язык 410п,210п;Обществознание 403п;Музыка 402п
;;;;;;;;
;;;;;;;;
;;;;;7_3;;;
1;9:00;9:45;Геометрия 302п;Физкультура 0п;Геометрия 303п;Английский язык 410п,210п;История 403п;Физкультура 0п
2;9:55;10:40;История 403п;Алгебра 209п;Алгебра 209п;Английский язык 410п,210п;Алгебра 209п;Русский язык 401п
3;10:50;11:35;География 501п;Русский язык 401п;Физика 507п;Инф,Алгоритмика 305п,308п;Геометрия 506п;Музыка 402п
4;11:45;12:30;Алгебра 209п;Биология 503п;Русский язык 401п;Биология 503п;География 501п;Физика 507п
5;12:40;13:25;Английский язык 410п,210п;Литература 401п;Информатика 305п,307п;Алгебра 209п;Русский язык 401п;Алго,Информатика 305п,308п
6;13:45;14:30;Английский язык 410п,210п;Изобразительное искусство 202п;Обществознание 403п;Русский язык 401п;Литература 401п;
;;;;;;;;
;;;;;;;;
;;;;;7_4;;;
1;9:00;9:45;История 403п;Английский язык 410п,210п;Алгебра 201п;Инф,Алгоритмика 305п,308п;Литература 401п;Геометрия 302п
2;9:55;10:40;Биология 503п;Английский язык 410п,210п;Обществознание 403п;География 501п;Русский язык 502п;Русский язык 502п
3;10:50;11:35;Изобразительное искусство 202п;Русский язык 403п;Русский язык 301п;Биология 503п;Английский язык 410п,210п;Физика 507п
4;11:45;12:30;Физкультура 0п;Литература 401п;Геометрия 302п;История 403п;Английский язык 410п,210п;Физкультура 0п
5;12:40;13:25;Алгебра 201п;Алгебра 201п;Физика 507п;Алгебра 201п;Алгебра 201п;Музыка 402п
6;13:45;14:30;География 501п;Геометрия 302п;Информатика 305п,307п;;Русский язык 502п;Алго,Информатика 305п,308п
;;;;;;;;
;;;;;;;;
;;;;;7_5;;;
1;9:00;9:45;Алгебра 204п;Алгебра 204п;Русский язык 401п;История 403п;Английский язык 410п,210п;Музыка 402п
2;9:55;10:40;География 501п;Информатика 408п,308п;Геометрия 303п;Геометрия 302п;Английский язык 410п,210п;Алгоритмика 305п,308п
3;10:50;11:35;Физкультура 0п;Английский язык 410п,210п;Литература 401п;Русский язык 401п;Информатика 408п,308п;Русский язык 401п
4;11:45;12:30;История 403п;Английский язык 410п,210п;Алгебра 204п;Алгебра 204п;Русский язык 401п;Литература 401п
5;12:40;13:25;Изобразительное искусство 202п;Геометрия 402п;Обществознание 403п;Биология 503п;Физкультура 0п;Физика 507п
6;13:45;14:30;Биология 503п;Русский язык 401п;Физика 507п;География 501п;Алгебра 204п;
;;;;;;;;
;;;;;;;;
;;;;;7_6;;;
1;9:00;9:45;Изобразительное искусство 202п;Русский язык 401п;Биология 503п;Русский язык 401п;Физика 507п;Русский язык 401п
2;9:55;10:40;Алгебра 204п;Алгебра 204п;Русский язык 401п;История 403п;Русский язык 401п;Физкультура 0п
3;10:50;11:35;Биология 503п;Информатика 408п,308п;Обществознание 403п;Алгебра 204п;Алгебра 204п;Алгоритмика 305п,308п
4;11:45;12:30;География 501п;Геометрия 402п;Физика 507п;Литература 401п;Информатика 408п,308п;Музыка 402п
5;12:40;13:25;История 403п;Английский язык 410п,210п;Алгебра 204п;География 501п;Английский язык 410п,210п;Литература 401п
6;13:45;14:30;Физкультура 0п;Английский язык 410п,210п;Геометрия 303п;Геометрия 302п;Английский язык 410п,210п;
;;;;;;;;
;;;;;;;;
